type,temp,rate,se,temp2
pig,5.81849999999999,0.001125857293644,7.09596973670878E-05,
pig,7.487,0.00142146966776,0.000203794060019,
pig,9.1555,0.001777488162303,0.000174454668865,
pig,10.824,0.002370868998974,0.000119092644311,
pig,12.4925,0.002859213052078,2.74009798393734E-05,
pig,14.161,0.003147242883525,0.000167962264398,
pig,15.8295,0.004065674879907,0.000283691242026,
pig,17.498,0.005371394713631,0.000212893818393,
pig,19.1665,0.006150635871669,0.000312582502699,
pig,20.835,0.008129713476835,0.000903633473904,
pig,22.5035,0.007571376208263,0.000597516534315,
pig,24.172,0.010986989969979,0.000339898482692,
pig,25.8405,0.012676600977407,0.000207074576248,
pig,29.1775,0.01826556625756,0.000355180251052,
pig,32.5145,0.026304096850196,0.000493887676212,
pig,35.8515,0.029601136359242,0.000358064937218,
pig,39.1885,0.025250035254674,0.000686258528034,
pig,42.5255,0.012361972143046,0.00047633866977,
pig,47.531,0.002970796072257,0.000229522300054,
pig,52.5365,0.001681219698174,4.77677293336876E-05,
cattle,5.12929841382999,0.002122156089307,0.000248672687606,
cattle,6.70210622627557,0.003085439421888,0.0003351135024,
cattle,8.27491403872116,0.004126301725516,2.27309044263184E-05,
cattle,9.84772185116674,0.004995130481103,6.66234613039882E-05,
cattle,11.4205296636123,0.00626546182928,0.000114477982143,
cattle,12.9933374760579,0.008099410114937,0.00024858116162,
cattle,14.5661452885035,0.00945288555384,9.38922975093055E-05,
cattle,16.1389531009491,0.011846038144561,0.000161797442184,
cattle,17.7117609133947,0.013864201162954,0.000206633267345,
cattle,19.2845687258402,0.017338153435467,0.000357070712656,
cattle,20.8573765382858,0.02119038482494,0.000308507404339,
cattle,22.4301843507314,0.024044292303298,0.000461418066011,
cattle,25.5757999756226,0.034275044553202,0.001152247792848,
cattle,28.7214156005138,0.046793973942538,0.000682627045484,
cattle,31.8670312254049,0.062539399163039,0.00068989256683,
cattle,35.0126468502961,0.070144446071665,0.000866818268938,35
cattle,38.1582624751873,0.06826289678313,0.001348106427606,
cattle,41.3038781000784,0.059626596809511,0.000750061529585,
cattle,46.0223015374152,0.025148392132218,0.000896549799939,
cattle,50.7407249747519,0.00992663180866,0.000454348247181,51
digestate,5.71,0.000464349469918,8.18018126038849E-05,
digestate,7.42,0.000366428318567,7.35885625564151E-05,
digestate,9.2108,0.000629716702588,3.58908508684759E-05,
digestate,10.8684,0.000530396093325,2.49546794264973E-05,
digestate,12.526,0.000847777407873,4.24698905360054E-05,
digestate,14.1836,0.00084558091302,6.45652884539854E-05,
digestate,15.8412,0.001002211972282,0.000139589455384,
digestate,17.4988,0.00110593995298,0.000204137316145,
digestate,19.1564,0.00162769195492,3.2461663371313E-05,
digestate,20.814,0.001870828889816,0.000215147092781,21
digestate,22.4716,0.002116947172391,0.000170476571676,
digestate,24.1292,0.002840113420386,0.000138293621571,
digestate,25.7868,0.003461719558832,4.02697015743233E-05,
digestate,29.102,0.005638084319775,0.00019566591894,
digestate,32.4172,0.007488544687105,0.000179656431487,
digestate,35.7324,0.011194570648933,0.0001408824711,
digestate,39.0476,0.013347470034086,0.002046552245959,
digestate,42.3628,0.021939129239216,0.000399796561662,
digestate,47.3356,0.031164200211214,0.001095750600026,
digestate,52.3084,0.040050857315448,0.000175355094221,52
stored,6.8658,0.002186909433933,0.000285470852951,
stored,8.4906,0.002202843885429,0.000215199260846,
stored,10.1154,0.002628896917775,0.000243307656394,
stored,11.7402,0.00222965095749,0.000189350807287,
stored,13.365,0.00274091499307,0.000420285183179,
stored,14.9898,0.003264074941859,0.000529597307329,
stored,16.6146,0.003990656830752,0.000270784919451,
stored,18.2394,0.004075648042178,0.000357819853967,
stored,19.8642,0.005442330268371,0.000350995018706,
stored,21.489,0.006170884034314,0.000393706300954,21
stored,23.1138,0.006718581904349,0.000462841075972,
stored,24.7386,0.008612644088521,0.000646645468605,
stored,26.3634,0.010720301602821,0.000697483187294,
stored,29.613,0.018411137116204,0.000197453035264,
stored,32.8626,0.032828116091899,0.001101466822984,
stored,36.1122,0.061201016026561,0.002116041021641,
stored,39.3618,0.08754964604147,0.000434405482993,
stored,42.6114,0.109155043690234,0.002183160736625,
stored,47.4858,0.12311682714202,0.001421007471733,
stored,52.3602,0.082781664282539,0.002592120414839,
